,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
fixed acidity,0.489314,-0.110503,-0.123302,-0.229617,-0.082614,-0.101479,0.350227,0.177595,0.194021,-0.249523,0.639691
volatile acidity,-0.238584,0.27493,-0.449963,0.07896,0.218735,-0.411449,0.533735,0.078775,-0.12911,0.365925,0.002389
citric acid,0.463632,-0.151791,0.238247,-0.079418,-0.058573,-0.069593,-0.105497,0.377516,-0.38145,0.621677,-0.07091
residual sugar,0.146107,0.27208,0.101283,-0.372793,0.732144,-0.049156,-0.290663,-0.299845,0.007523,0.092872,0.18403
chlorides,0.212247,0.148052,-0.092614,0.666195,0.246501,-0.304339,-0.370413,0.357009,0.111339,-0.217671,0.053065
free sulfur dioxide,-0.036158,0.513567,0.428793,-0.043538,-0.159152,0.014,0.116596,0.204781,0.635405,0.248483,-0.051421
total sulfur dioxide,0.023575,0.569487,0.322415,-0.034577,-0.222465,-0.136308,0.093662,-0.019036,-0.592116,-0.37075,0.068702
density,0.395353,0.233575,-0.338871,-0.1745,0.157077,0.391152,0.170481,0.239223,0.020719,-0.23999,-0.567332
pH,-0.43852,0.006711,0.057697,-0.003788,0.26753,0.522116,0.025138,0.561391,-0.167746,-0.01097,0.340711
sulphates,0.242921,-0.037554,0.279786,0.550872,0.225962,0.381263,0.447469,-0.374604,-0.058367,0.11232,0.069555
alcohol,-0.113232,-0.386181,0.471673,-0.122181,0.350681,-0.361645,0.327651,0.217626,0.037603,-0.303015,-0.314526
