entry_type,label,final_val_recon,best_val_recon,val_mae,val_rmse,n_test,gap_vs_digit_class_mean,relative_to_digit_class_mean_pct,gap_vs_global_mean,relative_to_global_mean_pct,run_id,final_val_kl,duration_sec
vae,baseline_target_kl_2,0.4575743973255157,0.3225438594818115,,,,-0.30285191535949707,-48.42564141664443,-0.6782737970352173,-67.77196551424716,baseline-20260514T230330Z-6bf9ff2c,1.992267727851868,51.83407480001915
vae,baseline_3x_4k_epochs_warmup,0.4160430431365967,0.3313983082771301,,,,-0.29399746656417847,-47.009826159887155,-0.6694193482398987,-66.88724403300019,baseline-20260514T220441Z-54479881,3.01517391204834,137.14046099997358
vae,baseline_target_kl_1,0.6116995811462402,0.3472749590873718,,,,-0.27812081575393677,-44.47116960847852,-0.653542697429657,-65.30087605609074,baseline-20260514T230603Z-3d8b32ab,1.0042831897735596,51.77689159999136
vae,baseline_3x_kl_target,0.4381825029850006,0.3924993276596069,,,,-0.23289644718170172,-37.23984979604286,-0.6083183288574219,-60.78213397777634,baseline-20260514T224748Z-ce3de6dd,3.0003771781921387,75.67045679996954
vae,baseline_target_kl_0.4,0.8077080249786377,0.3952584862709045,,,,-0.2301372885704041,-36.79866379474669,-0.6055591702461243,-60.506443536732384,baseline-20260514T230837Z-8e60b8ef,0.3997855186462402,55.88226359995315
vae,baseline_KL_target,0.4506279826164245,0.4019400477409363,,,,-0.22345572710037231,-35.73029049597804,-0.5988776087760925,-59.83883326561822,baseline-20260514T224336Z-0a73e9cc,3.002403497695923,54.31618159997743
baseline,pca_11,0.40822720527648926,0.40822720527648926,0.47554194927215576,0.63892662525177,400.0,-0.21716856956481934,-34.72498189165491,-0.5925904512405396,-59.21063116560401,,,
baseline,pca_9,0.44727465510368347,0.44727465510368347,0.5019770860671997,0.6687859296798706,400.0,-0.17812111973762512,-28.48134363920552,-0.5535430014133453,-55.30907631463503,,,
baseline,pca_6,0.5324382185935974,0.5324382185935974,0.5551319122314453,0.7296835780143738,400.0,-0.09295755624771118,-14.86379665281537,-0.4683794379234314,-46.79967773085166,,,
baseline,pca_5,0.5681459903717041,0.5681459903717041,0.5772187113761902,0.7537546157836914,400.0,-0.05724978446960449,-9.154168731653387,-0.4326716661453247,-43.2318178369351,,,
baseline,digit_class_mean,0.6253957748413086,0.6253957748413086,0.5970096588134766,0.7908197045326233,400.0,0.0,0.0,-0.3754218816757202,-37.51151663153461,,,
baseline,pca_3,0.67566978931427,0.67566978931427,0.6458834409713745,0.8219913840293884,400.0,0.050274014472961426,8.038751858488048,-0.3251478672027588,-32.48822251341111,,,
baseline,global_mean,1.0008176565170288,1.0008176565170288,0.8405429124832153,1.00040864944458,400.0,0.3754218816757202,60.02948801036941,0.0,0.0,,,
